feature,importance
cat3_cat,1955.4285714285713
mes,1921.7142857142858
cat3_yoy,1524.142857142857
momentum_3_12,1510.142857142857
brand,1439.4285714285713
tn_vs_rmean12,1301.2857142857142
universo_yoy,1300.2857142857142
ratio_1,1235.142857142857
ratio_12,1216.0
share_cat3,1112.5714285714287
lag_10,1111.4285714285713
delta_12,1094.7142857142858
sku_size,1002.0
delta_1,987.7142857142857
lag_9,971.2857142857143
lag_8,916.5714285714286
lag_11,888.0
rstd_3,827.1428571428571
share_universo,770.8571428571429
lag_4,766.8571428571429
lag_3,757.2857142857143
stock_lag_2,752.8571428571429
stock_lag_3,750.0
stock_lag_1,731.2857142857143
lag_7,729.1428571428571
lag_5,719.5714285714286
stock_lag_6,714.5714285714286
rstd_6,710.5714285714286
lag_6,701.0
stock_delta_1,698.8571428571429
rstd_12,693.7142857142857
lag_12,662.8571428571429
lag_2,646.4285714285714
rmin_12,621.8571428571429
stock_vs_tn,614.0
rstd_9,604.2857142857143
stock_0,594.5714285714286
lag_1,560.7142857142857
stock_delta_12,557.2857142857143
lag_0,546.8571428571429
rmean_12,531.4285714285714
stock_cobertura_3,529.2857142857143
stock_cobertura_12,518.2857142857143
rmin_9,500.57142857142856
rmin_6,494.2857142857143
rmin_3,488.7142857142857
rmax_12,424.85714285714283
rmax_3,416.7142857142857
cat2,374.85714285714283
rmean_3,367.7142857142857
rmax_6,338.57142857142856
rmean_9,337.0
rmax_9,329.7142857142857
rmean_6,321.85714285714283
stock_lag_12,116.14285714285714
stock_disponible,63.0
cat1,23.714285714285715
ceros_12,1.4285714285714286
stock_negativo,1.4285714285714286
meses_desde_venta,0.0
