feature,importance
lag_9,733.4
lag_10,730.4
lag_8,669.6
lag_0,656.4
cp_regime1_share_lag0,649.6
cp_pairs_lag0,607.2
cp_tn_per_buyer_lag0,596.0
lag_6,454.0
cp_top_share_lag0,453.6
lag_2,449.2
cp_request_tn_lag0,446.4
cp_regime0_share_lag0,425.0
cp_pairs_lag12,423.4
lag_11,422.6
lag_4,420.2
lag_5,413.0
lag_7,404.8
cp_churned_lag12,392.6
cp_pairs_lag3,388.6
cp_regime2_share_lag0,385.6
cp_hhi_lag0,381.2
cp_regime1_share_lag12,378.6
lag_1,375.8
cp_buyers_lag0,343.8
cp_fill_rate_lag3,341.8
cp_tn_per_buyer_lag1,340.2
cp_hhi_lag1,335.6
cp_top_share_lag3,335.2
cp_hhi_lag3,333.2
cp_regime2_share_lag12,324.6
cp_request_tn_lag1,320.8
cp_top_share_lag1,314.2
cp_fill_rate_lag1,310.4
cp_buyers_lag3,306.2
cp_pairs_lag1,305.2
cp_fill_rate_lag0,302.8
lag_3,300.6
cp_tn_per_buyer_lag3,299.4
cp_churned_lag0,298.4
cp_buyer_rate_lag0,289.8
cp_new_buyers_lag12,279.0
cp_buyers_lag1,275.8
cp_regime0_share_lag12,275.8
cp_new_buyers_lag0,269.2
cp_fill_rate_lag12,258.2
cp_repeat_buyers_lag0,258.2
cp_regime3_share_lag12,258.2
cp_tn_per_buyer_lag12,255.4
cp_buyer_rate_lag3,249.4
cp_hhi_lag12,244.6
cp_top_share_lag12,240.6
cp_buyer_rate_lag1,237.4
cp_regime3_share_lag0,221.8
cp_repeat_buyers_lag12,213.6
cp_request_tn_lag3,189.4
lag_12,185.2
cp_buyers_lag12,162.2
cp_buyer_rate_lag12,157.4
cp_request_tn_lag12,109.2
