feature,importance
lag_9,693.8
lag_10,692.4
lag_8,661.8
lag_0,633.8
cp_regime1_share_lag0,594.6
cp_tn_per_buyer_lag0,535.4
cp_pairs_lag0,494.2
cp_request_tn_lag0,444.0
lag_6,424.4
lag_2,409.4
cp_top_share_lag0,408.8
cp_pairs_lag12,399.2
lag_7,397.2
cp_regime0_share_lag0,389.2
lag_4,382.4
lag_11,376.4
cp_churned_lag12,375.8
cp_hhi_lag0,364.8
cp_regime1_share_lag12,351.2
cp_regime2_share_lag0,349.2
lag_1,337.8
lag_5,336.4
cp_top_share_lag3,334.6
cp_pairs_lag3,328.4
cp_hhi_lag3,328.2
cp_regime2_share_lag12,324.4
cp_hhi_lag1,318.0
cp_fill_rate_lag3,313.8
cp_buyers_lag0,310.2
cp_tn_per_buyer_lag1,308.8
cp_top_share_lag1,302.2
cp_tn_per_buyer_lag3,295.0
cp_fill_rate_lag1,292.6
cp_churned_lag0,280.4
lag_3,280.0
cp_buyer_rate_lag0,276.0
cp_new_buyers_lag12,275.4
cp_buyers_lag3,274.4
cp_request_tn_lag1,274.0
cp_fill_rate_lag0,273.2
cp_buyers_lag1,260.8
cp_new_buyers_lag0,255.8
stock_vs_tn,252.4
cp_pairs_lag1,250.0
cp_fill_rate_lag12,246.4
cp_regime0_share_lag12,244.2
cp_tn_per_buyer_lag12,243.2
cp_repeat_buyers_lag0,236.4
stock_lag_2,235.6
cp_regime3_share_lag12,232.4
stock_lag_3,231.6
cp_hhi_lag12,225.4
cp_buyer_rate_lag1,224.0
cp_top_share_lag12,222.4
cp_buyer_rate_lag3,218.6
cp_repeat_buyers_lag12,201.8
stock_delta_1,195.0
cp_regime3_share_lag0,194.6
stock_lag_1,193.0
stock_0,183.8
cp_request_tn_lag3,173.8
cp_buyers_lag12,165.2
lag_12,155.6
cp_buyer_rate_lag12,153.2
stock_lag_6,142.2
stock_delta_12,127.0
cp_request_tn_lag12,89.6
stock_disponible,4.0
stock_negativo,0.2
stock_lag_12,0.0
