feature,importance
universo_yoy,1358.6
share_cat3,1091.8
share_universo,1043.2
cat3_yoy,993.2
lag_9,893.6
ratio_1,890.0
lag_10,855.8
lag_8,823.8
momentum_3_12,782.2
lag_3,695.6
tn_vs_rmean12,694.6
delta_1,670.0
lag_6,654.4
lag_4,647.2
rstd_3,605.8
lag_7,596.0
lag_1,554.4
lag_11,551.2
lag_0,550.4
ratio_12,513.6
lag_5,506.8
rstd_12,480.4
rstd_6,432.4
lag_2,422.0
delta_12,415.8
rmin_12,383.8
rmin_3,368.4
rmax_3,363.8
rmin_6,359.4
rmean_3,358.0
lag_12,350.0
rmax_12,310.8
rmean_6,263.8
rmax_6,260.4
rmean_12,258.8
