feature,importance
universo_yoy,1320.4
share_cat3,1079.4
cat3_yoy,1001.2
share_universo,983.2
lag_9,884.2
lag_10,881.6
lag_8,855.2
ratio_1,809.2
momentum_3_12,764.4
delta_1,713.8
tn_vs_rmean12,684.4
lag_3,683.0
lag_4,634.4
lag_6,629.0
lag_7,618.4
rstd_3,617.8
lag_11,580.6
lag_1,563.2
lag_0,549.0
lag_5,516.2
rstd_12,469.2
ratio_12,465.0
rstd_6,463.4
delta_12,442.4
lag_2,413.0
rmean_3,408.4
rmax_3,405.2
lag_12,375.2
rmin_12,366.4
rmin_3,362.6
rmin_6,325.2
rmax_12,324.0
rmean_12,275.0
rmean_6,271.4
rmax_6,265.0
