feature,importance
universo_yoy,1102.6
share_universo,940.8
share_cat3,905.4
cat3_yoy,862.6
lag_9,800.8
lag_10,796.8
lag_8,759.8
momentum_3_12,685.0
ratio_1,644.0
delta_1,611.0
tn_vs_rmean12,606.8
lag_3,580.6
lag_7,562.4
lag_6,522.6
lag_4,520.4
rstd_3,504.6
lag_0,499.2
lag_11,491.6
lag_1,488.6
stock_lag_3,424.4
lag_5,423.2
ratio_12,414.2
rstd_12,406.4
rstd_6,381.8
delta_12,366.8
rmax_3,354.2
stock_lag_2,345.4
lag_2,340.8
rmean_3,322.0
lag_12,317.0
rmin_12,309.2
rmin_3,306.8
stock_delta_1,302.8
stock_0,300.2
stock_lag_1,284.4
stock_vs_tn,274.6
rmin_6,272.8
stock_lag_6,267.8
stock_delta_12,265.2
stock_cobertura_3,255.8
rmax_12,247.8
stock_cobertura_12,233.6
rmean_6,229.4
rmean_12,220.6
rmax_6,195.2
stock_disponible,51.4
stock_negativo,0.6
stock_lag_12,0.0
