candidate,scale,anchor,wape,n_features,train_rows,val_rows
lags_raw,raw,201812,0.1913505759899934,13,12268,656
lags_raw,raw,201910,0.2557992373646819,13,19255,780
limpio_raw,raw,201812,0.19524075232095453,35,12268,656
limpio_raw,raw,201910,0.2858988733659532,35,19255,780
limpio_log,log,201812,0.19859500049274187,35,12268,656
limpio_log,log,201910,0.28211075321970686,35,19255,780
limpio_stock_raw,raw,201812,0.1969125808151871,48,12268,656
limpio_stock_raw,raw,201910,0.2898927850920206,48,19255,780
cp_agregada_raw,raw,201812,0.2178354827386937,59,12268,656
cp_agregada_raw,raw,201910,0.38844443259495615,59,19255,780
cp_agregada_stock_raw,raw,201812,0.2186355950125224,70,12268,656
cp_agregada_stock_raw,raw,201910,0.39536354690055164,70,19255,780
